date,close,volume,open,high,low,Source
02/03/2020,$239.01,"2,733,171",$238.36,$242.39,$238.05,NASDAQ
01/31/2020,$237.75,"3,482,838",$241.99,$242.89,$236.88,NASDAQ
01/30/2020,$244.13,"3,261,733",$237.69,$244.34,$236.73,NASDAQ
01/29/2020,$240.12,"3,713,664",$244.52,$246.50,$239.5697,NASDAQ
01/28/2020,$242.58,"3,123,389",$239.49,$243.58,$238.05,NASDAQ
01/27/2020,$238.14,"2,506,445",$236.37,$238.99,$235.0112,NASDAQ
01/24/2020,$241.92,"2,877,351",$245.07,$245.7093,$240.60,NASDAQ
01/23/2020,$245.58,"2,806,820",$244.50,$247.00,$242.88,NASDAQ
01/22/2020,$247.05,"2,031,016",$246.61,$248.52,$246.34,NASDAQ
01/21/2020,$245.70,"2,492,363",$247.21,$248.85,$245.60,NASDAQ
01/17/2020,$249.46,"3,108,371",$250.23,$250.46,$248.00,NASDAQ
01/16/2020,$249.72,"3,968,405",$247.01,$249.82,$246.23,NASDAQ
01/15/2020,$245.21,"5,411,198",$242.00,$249.50,$239.16,NASDAQ
01/14/2020,$245.66,"4,309,141",$245.32,$248.52,$244.60,NASDAQ
01/13/2020,$245.21,"3,361,630",$244.44,$246.11,$243.00,NASDAQ
01/10/2020,$242.11,"2,249,212",$242.75,$243.39,$241.39,NASDAQ
01/09/2020,$242.60,"3,982,130",$241.34,$243.40,$239.82,NASDAQ
01/08/2020,$237.76,"3,564,884",$235.68,$239.75,$235.48,NASDAQ
01/07/2020,$235.49,"5,393,171",$235.00,$237.77,$234.76,NASDAQ
01/06/2020,$233.95,"3,329,354",$229.93,$234.02,$229.49,NASDAQ
01/03/2020,$231.58,"2,276,089",$231.60,$232.61,$230.30,NASDAQ
01/02/2020,$234.32,"3,737,791",$231.00,$234.64,$230.16,NASDAQ
12/31/2019,$229.93,"1,447,336",$229.71,$229.97,$228.67,NASDAQ
12/30/2019,$229.80,"1,494,667",$231.68,$231.68,$229.50,NASDAQ
12/27/2019,$230.66,"1,343,887",$231.81,$232.21,$230.47,NASDAQ
12/26/2019,$231.21,"1,704,161",$230.26,$232.1999,$229.99,NASDAQ
12/24/2019,$229.91,"467,722",$228.98,$229.95,$228.37,NASDAQ
12/23/2019,$229.09,"1,671,705",$229.66,$230.48,$228.41,NASDAQ
